factor_level,formal_replication_index,formal_structural_seed,step_index,wall_latency_ms
1,0,101,15,0.441381
20,0,101,14,0.524497
2,0,101,23,0.227059
1,0,101,1,0.550926
10,0,101,31,0.245907
5,0,101,19,0.212485
1,0,101,10,0.436403
10,0,101,23,0.248032
10,0,101,13,0.300159
1,0,101,7,0.795372
1,0,101,18,0.428679
5,0,101,20,0.444137
10,0,101,5,0.432656
50,0,101,23,0.224933
10,0,101,30,0.449885
10,0,101,8,0.436886
20,0,101,12,0.440443
20,0,101,1,0.516829
5,0,101,32,0.438734
10,0,101,9,0.457141
10,0,101,17,0.224761
5,0,101,18,0.432166
5,0,101,9,0.426758
2,0,101,18,0.444786
1,0,101,22,0.441683
5,0,101,16,0.430988
2,0,101,21,0.772635
10,0,101,32,0.786591
20,0,101,7,0.436319
50,0,101,5,0.445862
1,0,101,23,0.226041
2,0,101,25,0.277645
50,0,101,18,0.554495
1,0,101,16,0.480905
50,0,101,21,0.804923
20,0,101,17,0.223894
5,0,101,28,0.441798
50,0,101,11,0.439185
20,0,101,31,0.271111
5,0,101,13,0.310235
5,0,101,15,0.446667
1,0,101,4,0.440618
2,0,101,11,0.429739
50,0,101,6,0.929241
20,0,101,9,0.707483
2,0,101,12,0.442869
5,0,101,14,0.433574
2,0,101,3,0.460527
50,0,101,12,0.43286
5,0,101,8,0.435501
5,0,101,1,0.52208
50,0,101,22,0.448352
1,0,101,20,0.441451
20,0,101,11,0.434453
2,0,101,14,0.430251
1,0,101,26,0.441348
50,0,101,27,0.46395
50,0,101,3,0.443008
10,0,101,14,0.793807
50,0,101,1,0.526177
10,0,101,1,0.513567
5,0,101,29,0.118538
2,0,101,16,0.941649
2,0,101,20,0.899018
5,0,101,4,0.800019
2,0,101,30,0.454335
50,0,101,8,0.795642
1,0,101,3,0.455539
1,0,101,19,0.209864
20,0,101,20,0.446251
1,0,101,32,0.787628
1,0,101,17,0.224577
2,0,101,22,0.806743
20,0,101,30,0.445446
20,0,101,25,0.272889
1,0,101,21,0.493643
10,0,101,28,0.442457
10,0,101,3,0.458266
20,0,101,15,0.440495
50,0,101,17,0.223493
2,0,101,27,0.460852
1,0,101,28,0.440203
10,0,101,11,0.44214
1,0,101,31,0.243046
2,0,101,15,0.440194
5,0,101,10,0.437217
20,0,101,4,0.777148
50,0,101,2,0.474673
5,0,101,22,0.44761
